SEX,AGE,CATTEL,PATTER_COMPL,PAP_FOLD,NUMB_SERIES,MENTAL_COUNTERS,N_BACK,SSPAN,CSSPAN,CHANGE_DET_COL,CHANGE_DET__FIG,CHANGE_DET__LET, CHANGE_DETECTION_MEAN ,CRT_ARR,CRT_LET,CRT_DIG,ICO_FIG,ICO_LET,ICO_COL,FD_SIZ,FD_ORIENT,FD_BRI,FM_SIZ,FM_ORIENT,FM_BRI,NUMER16/36,NUMERS28/60,NUMERS8/20,IT_CIR,IT_LIN,IT_SQU,TOJ_DIS,TOJ_APP,DD_EMPTY,DD_FILLED,ICO_FIG_TRAIN,ICO_LET_TRAIN,ICO_COL_TRAIN,FD_SIZ_TRAIN,FD_ROT_TRAIN,FD_BRI_TRAIN,FR_SIZ_TRAIN,FR_ROT_TRAIN,FR_BRI_TRAIN,NUMER/36_TRAIN,NUMER/60_TRAIN,NUMER/20_TRAIN,TOJ_DIS_TRAIN,TOJ_APP_TRAIN,DD_EMPTY_TRAIN,DD_FILLED_TRAIN,IT_CIR_TRAIN,IT_LIN_TRAIN,IT_SQU_TRAIN
F,19,23,6,7,4,0.18,0.08,0.38,0.66,2.80,1.50,3.20,2.50,-639,-686,-608,3.38,8.38,2.13,-2.00,-7.63,-5.50,-19.25,-24.50,-39.50,0.51,0.62,0.71,-137.00,-115.00,-125.00,-35.00,-112.88,-313.25,-322.00,0.83,0.72,0.50,1.00,0.63,0.83,0.88,0.54,0.54,0.71,0.75,0.71,1.00,0.63,0.71,0.63,0.58,0.75,0.88
M,21,33,14,15,13,0.41,0.91,0.79,0.72,3.50,2.20,3.70,3.12,-475,-489,-500,5.50,5.00,6.14,-1.00,-2.75,-2.25,-19.00,-11.50,-26.75,0.76,0.76,0.79,-124.00,-70.00,-72.00,-109.38,-70.88,-183.75,-168.00,0.56,0.67,0.89,0.88,0.92,0.92,0.88,0.83,0.58,0.75,0.83,0.79,0.88,0.92,0.96,0.83,0.79,0.96,1.00
F,20,24,8,6,10,0.49,0.57,0.50,0.57,0.95,-1.60,3.10,0.80,-577,-686,-592,4.13,4.38,5.63,-1.25,-2.50,-2.75,-12.50,-19.25,-34.00,0.68,0.50,0.78,-68.00,-99.00,-91.00,-24.50,-83.13,-162.75,-210.00,0.89,0.67,0.83,0.92,0.96,0.83,0.96,0.79,0.71,0.71,0.71,0.88,0.96,0.96,0.96,0.71,0.71,0.92,1.00
F,21,34,9,11,12,0.21,0.78,0.33,0.88,2.05,0.90,1.60,1.53,-459,-549,-459,4.63,2.88,5.13,-1.13,-6.63,-3.63,-22.00,-17.75,-27.00,0.76,0.74,0.73,-196.00,-79.00,-57.00,-24.50,-53.38,-276.50,-180.25,0.61,0.83,0.67,0.83,0.79,0.88,0.96,0.63,0.92,0.71,0.67,0.92,0.96,1.00,0.29,0.42,0.58,1.00,1.00
M,26,19,11,11,14,0.46,0.58,0.56,0.70,1.25,1.70,2.40,1.77,-421,-499,-498,3.63,5.00,5.75,-2.50,-3.00,-3.63,-22.75,-12.50,-27.50,0.83,0.78,0.88,-78.00,-67.00,-55.00,-25.38,-42.00,-105.00,-112.00,0.94,0.72,0.78,0.88,0.96,0.96,0.79,0.88,0.83,0.96,0.83,0.83,1.00,0.96,0.92,0.83,0.92,0.96,1.00
F,22,29,6,14,10,0.14,0.86,0.11,0.70,0.30,-0.30,1.40,0.47,-468,-631,-546,4.50,4.38,6.50,-2.00,-3.13,-1.88,-10.75,-5.25,-20.75,0.69,0.78,0.88,-144.00,-90.00,-103.00,-27.13,-72.63,-265.00,-125.00,0.33,0.72,0.89,0.92,0.96,1.00,0.88,0.92,0.67,0.58,0.79,0.79,0.96,0.75,0.54,0.54,0.96,0.75,0.92
F,19,30,10,10,15,0.33,0.68,0.56,0.97,3.35,1.20,4.00,2.82,-468,-570,-483,3.88,5.13,6.63,-1.25,-2.63,-2.00,-12.25,-16.75,-25.25,0.76,0.79,0.83,-74.00,-75.00,-74.00,-16.63,-47.25,-155.75,-133.00,0.72,0.72,1.00,0.83,0.92,1.00,0.75,0.88,0.83,0.75,0.75,0.88,1.00,0.88,0.83,0.67,0.96,0.96,0.92
F,20,36,10,11,12,0.16,0.85,0.51,0.53,5.00,2.00,3.60,3.52,-468,-539,-500,10.38,8.88,8.00,-0.75,-1.25,-1.38,-11.75,-6.75,-23.43,0.68,0.50,0.74,-146.00,-115.00,-69.00,-12.25,-8.75,-147.00,-108.50,0.78,0.67,0.94,0.96,0.92,1.00,0.92,0.92,0.67,0.58,0.63,0.83,1.00,1.00,0.79,0.67,0.92,1.00,1.00
F,18,24,5,11,9,0.36,0.62,0.40,0.59,2.15,0.80,3.50,2.13,-546,-639,-529,10.63,5.75,6.75,-2.63,-5.88,-2.00,-13.25,-18.50,-24.75,0.60,0.50,0.76,-130.00,-105.00,-96.00,-22.75,-58.63,-239.75,-115.50,0.94,0.67,0.89,0.79,0.79,0.92,0.71,0.71,0.71,0.58,0.67,0.88,0.92,0.92,0.79,0.75,0.83,0.92,0.83
M,26,31,7,6,13,0.19,0.91,0.41,0.74,4.25,2.20,2.80,3.05,-468,-624,-561,4.75,7.13,7.38,-2.50,-4.88,-1.88,-6.29,-19.25,-47.00,0.79,0.63,0.76,-128.00,-103.00,-76.00,-82.25,-32.38,-126.00,-136.50,0.83,0.61,0.83,0.88,0.96,0.96,0.83,0.71,0.58,0.83,0.63,0.79,0.88,0.96,1.00,0.83,0.88,0.92,0.63
F,21,31,9,6,8,0.34,0.81,0.49,0.78,3.80,3.10,5.10,3.98,-514,-514,-483,6.25,9.43,11.75,-1.63,-1.25,-2.75,-17.75,-9.00,-29.75,0.84,0.71,0.88,-71.00,-53.00,-53.00,-9.63,-45.50,-89.25,-140.00,0.89,0.89,0.44,0.96,0.96,0.96,0.88,0.88,0.83,0.83,0.88,0.83,0.96,0.88,0.96,0.75,1.00,1.00,1.00
F,22,35,8,13,14,0.33,0.68,0.40,0.77,2.95,2.20,2.90,2.67,-529,-620,-609,8.63,2.63,5.63,-1.00,-3.29,-3.63,-12.50,-15.50,-32.29,0.79,0.81,0.92,-84.00,-96.00,-113.00,-7.88,-77.00,-234.50,-189.00,0.78,0.39,0.78,0.92,0.92,0.83,0.96,0.79,0.58,0.83,0.71,0.96,0.92,0.83,0.71,0.54,0.88,0.71,1.00
F,24,23,9,9,7,0.02,0.29,0.29,0.32,0.25,0.10,0.30,0.25,-513,-639,-577,7.88,8.13,10.00,-3.50,-5.88,-4.13,-22.00,-23.14,-39.50,0.57,0.66,0.83,-121.00,-102.00,-90.00,-53.23,-67.69,-192.50,-199.50,1.00,0.78,0.83,0.88,0.71,0.83,0.92,0.71,0.54,0.67,0.71,0.75,0.92,0.63,0.50,0.71,0.46,0.92,0.79
M,28,25,8,10,12,0.16,0.67,0.41,0.88,2.20,2.50,3.00,2.55,-530,-705,-549,8.25,3.75,10.25,-0.75,-1.63,-2.25,-10.50,-7.50,-15.75,0.77,0.64,0.79,-63.00,-75.00,-50.00,-28.88,-79.63,-147.00,-152.25,0.89,0.89,0.89,0.92,0.96,0.96,1.00,0.92,0.63,0.92,0.63,0.83,0.96,0.83,0.83,0.50,1.00,0.83,0.96
F,21,38,10,13,12,0.17,0.51,0.64,0.81,0.85,0.60,0.40,0.60,-514,-499,-562,9.63,5.86,11.63,-2.00,-3.00,-3.25,-19.00,-18.75,-33.50,0.71,0.77,0.71,-64.00,-64.00,-16.00,-25.38,-85.00,-164.50,-169.75,0.50,0.89,1.00,0.96,0.96,0.96,0.92,0.71,0.92,0.67,0.63,0.79,0.96,0.96,0.79,0.67,1.00,1.00,1.00
F,22,30,10,5,16,0.31,0.52,0.64,0.82,0.40,2.10,0.80,1.08,-509,-509,-499,4.63,6.13,11.13,-2.00,-4.25,-3.75,-13.25,-23.25,-30.29,0.81,0.58,0.91,-81.00,-103.00,-132.00,-37.63,-73.50,-238.00,-297.00,0.61,0.61,0.89,0.83,0.92,0.83,0.88,0.71,0.79,0.88,0.79,0.83,0.96,0.79,0.42,0.54,1.00,0.75,0.71
F,21,19,5,6,6,0.48,0.46,0.38,0.69,2.15,1.40,1.10,1.53,-564,-694,-779,2.75,3.86,4.29,-1.75,-5.88,-3.13,-18.00,-16.00,-29.71,0.66,0.50,0.77,-60.00,-114.00,-36.00,-21.00,-70.00,-287.00,-304.50,0.67,0.50,0.78,0.96,0.75,0.83,0.92,0.71,0.63,0.67,0.75,0.79,1.00,0.75,0.71,0.42,0.96,0.79,1.00
M,22,21,2,3,13,0.43,0.33,0.47,0.54,0.60,-1.10,-0.50,-0.33,-471,-562,-468,4.63,2.13,3.25,-3.75,-7.75,-7.29,-19.50,-16.00,-31.50,0.52,0.63,0.64,-127.00,-172.00,-83.00,-80.50,-59.50,-197.75,-194.25,0.39,0.44,0.56,0.92,0.75,0.83,0.67,0.75,0.63,0.71,0.58,0.79,0.96,0.88,0.58,0.58,0.88,0.79,0.92
M,,26.00,8.00,7.00,7.00,-0.07,0.36,0.53,0.17,1.80,1.40,1.30,1.48,-421,-452,-483,4.88,5.38,3.88,-3.38,-2.00,-8.50,-28.75,-17.25,-46.25,0.71,0.76,0.78,-89.00,-117.00,-78.00,-35.88,-41.13,-201.25,-176.75,0.56,0.83,0.89,0.83,0.92,0.83,0.75,0.83,0.71,0.67,0.63,0.63,1.00,0.83,0.50,0.79,0.96,0.63,1.00
F,23.00,36.00,14.00,13.00,12.00,-0.03,0.67,0.70,0.42,4.10,1.20,1.30,2.17,-484,-561,-483,6.63,3.75,5.38,-5.00,-6.25,-4.25,-26.75,-13.25,-25.00,0.66,0.74,0.64,-170.00,-144.00,-91.00,-42.88,-66.50,-210.00,-169.75,0.78,0.78,0.78,0.79,0.83,0.83,0.79,0.58,0.46,0.75,0.83,0.75,1.00,0.92,0.71,0.71,0.75,0.75,0.88
F,21.00,33.00,14.00,13.00,13.00,0.41,0.70,0.53,0.64,4.95,1.40,1.90,2.73,-514,-671,-460,9.25,6.25,8.63,-1.88,-4.38,-3.00,-16.75,-13.25,-36.75,0.81,0.75,0.85,-74.00,-98.00,-59.00,-34.13,-45.50,-195.00,-127.75,0.78,0.89,0.89,0.88,0.83,0.88,0.79,0.92,0.71,0.71,0.88,0.88,0.96,0.96,0.79,0.63,0.96,0.79,1.00
M,24.00,24.00,6.00,6.00,5.00,0.14,0.36,0.54,0.52,1.95,-0.80,-0.10,0.35,-531,-757,-592,2.63,3.43,2.57,-3.75,-8.00,-5.88,-35.00,-38.75,-35.14,0.86,0.61,0.74,-182.00,-239.00,-167.00,-42.00,-109.38,-360.50,-273.00,0.89,0.33,0.72,0.96,0.67,0.96,0.83,0.38,0.54,0.71,0.71,0.88,0.96,0.79,0.42,0.17,0.67,0.50,0.79
M,22.00,33.00,9.00,9.00,10.00,0.06,0.79,0.63,0.74,3.90,2.10,2.60,2.83,-449,-639,-520,7.75,8.88,6.38,-2.00,-2.38,-3.75,-15.25,-11.75,-27.75,0.86,0.87,0.90,-113.00,-93.00,-82.00,-23.63,-53.08,-143.50,-83.00,0.89,0.50,0.72,0.88,1.00,0.75,0.96,0.79,0.54,0.88,0.83,0.88,1.00,0.83,0.96,0.88,0.75,0.96,0.96
M,22.00,27.00,7.00,12.00,13.00,0.30,0.88,0.59,0.70,2.10,1.60,4.10,2.58,-546,-624,-607,6.25,5.88,7.38,-1.88,-2.00,-4.13,-20.75,-10.50,-35.75,0.86,0.74,0.91,-80.00,-48.00,-74.00,-21.00,-35.00,-120.75,-140.58,0.94,0.89,0.83,0.96,0.96,1.00,0.83,0.88,0.83,0.83,0.75,1.00,1.00,1.00,0.96,0.33,0.96,0.96,1.00
F,22.00,30.00,15.00,15.00,15.00,0.27,0.47,0.57,0.80,2.10,2.40,2.80,2.40,-529,-686,-562,6.63,5.13,7.75,-1.38,-3.50,-4.88,-20.00,-20.00,-22.25,0.67,0.78,0.69,-133.00,-72.00,-54.00,-41.13,-21.88,-140.00,-197.75,0.83,0.61,0.89,1.00,0.96,0.88,0.92,0.71,0.96,0.79,0.67,0.83,1.00,1.00,0.63,0.38,0.96,0.79,0.83
M,22.00,34.00,16.00,15.00,15.00,0.21,0.72,0.40,0.63,0.65,1.20,3.50,1.77,-490,-559,-519,6.38,6.88,9.75,-1.50,-2.50,-3.00,-15.00,-8.75,-32.75,0.87,0.80,0.87,-159.00,-71.00,-63.00,-89.25,-75.25,-136.50,-178.50,0.83,0.72,0.94,1.00,1.00,0.71,0.92,0.96,0.63,0.83,0.83,0.79,0.96,0.88,0.96,0.25,0.75,0.92,0.25
F,20.00,29.00,9.00,13.00,8.00,0.08,0.15,0.30,0.22,0.35,-0.80,-0.50,-0.28,-610,-620,-564,5.88,6.75,5.88,-0.88,-4.50,-2.75,-20.75,-26.57,-40.75,0.83,0.65,0.75,-121.00,-129.00,-123.00,-37.33,-62.56,-334.25,-169.00,0.78,0.78,0.89,0.96,0.92,0.92,0.92,0.63,0.42,0.83,0.58,0.83,0.54,0.63,0.54,0.46,0.75,0.79,0.25
F,24.00,34.00,8.00,11.00,9.00,0.07,0.28,0.56,0.54,-0.20,-0.30,-0.30,-0.28,-468,-624,-484,4.63,2.75,7.38,-2.63,-3.93,-4.13,-27.25,-23.75,-45.25,0.80,0.50,0.64,-93.00,-67.00,-71.00,-36.75,-42.88,-204.75,-193.00,0.61,0.28,0.89,0.92,0.17,0.92,0.96,0.67,0.67,0.58,0.71,0.67,0.96,1.00,0.63,0.42,1.00,0.96,0.96
F,20.00,24.00,8.00,5.00,9.00,-0.10,0.10,0.30,0.36,0.65,0.50,-0.50,0.22,-530,-671,-529,3.00,4.00,5.00,-2.00,-8.00,-2.63,-26.00,-32.29,-26.50,0.71,0.50,0.70,-95.00,-67.00,-136.00,-57.60,-56.00,-198.33,-210.00,0.50,0.78,0.94,0.79,0.79,0.79,0.83,0.58,0.54,0.54,0.50,0.79,0.17,0.63,0.63,0.63,0.88,0.96,0.83
F,36.00,21.00,7.00,12.00,11.00,-0.01,0.49,0.20,0.53,0.00,0.00,0.00, -   ,-561,-639,-600,3.00,4.14,3.88,-2.88,-4.13,-4.38,-11.00,-15.00,-47.50,0.80,0.72,0.88,-71.00,-82.00,-58.00,-34.13,-47.25,-110.25,-152.25,0.67,0.89,0.89,1.00,0.96,1.00,0.88,0.88,0.83,0.92,0.79,0.83,0.96,0.92,1.00,0.79,0.92,1.00,1.00
F,29.00,25.00,8.00,9.00,10.00,0.28,0.73,0.43,0.53,1.35,0.20,0.00,0.53,-491,-654,-529,4.50,3.38,7.00,-3.38,-8.88,-11.86,-27.75,-25.00,-45.25,0.70,0.80,0.86,-139.00,-120.00,-72.00,-25.38,-77.88,-164.50,-227.00,0.61,0.61,0.67,0.25,0.63,0.63,0.54,0.67,0.42,0.92,0.92,0.92,0.96,0.71,0.79,0.38,0.67,0.75,0.96
F,23.00,26.00,8.00,10.00,5.00,0.37,0.73,0.43,0.74,2.30,1.70,2.20,2.05,-524,-616,-531,6.50,2.75,5.00,-1.63,-7.50,-2.38,-16.25,-13.25,-47.00,0.66,0.79,0.79,-91.00,-91.00,-96.00,-70.00,-88.38,-183.75,-269.00,0.67,0.67,0.89,0.92,0.88,0.92,0.96,0.75,0.46,0.67,0.71,0.83,0.96,0.88,0.75,0.58,0.67,0.88,0.96
F,30.00,33.00,7.00,6.00,7.00,0.28,0.61,0.33,0.50,2.80,1.10,2.00,1.95,-546,-607,-577,6.43,5.00,8.13,-1.63,-4.13,-4.63,-12.75,-15.00,-30.75,0.74,0.62,0.71,-103.00,-114.00,-83.00,-32.38,-61.25,-145.25,-98.00,1.00,0.78,0.89,0.92,0.92,0.79,0.92,0.79,0.88,0.58,0.71,0.71,0.92,0.96,1.00,0.79,0.75,0.63,0.92
F,26.00,23.00,8.00,10.00,9.00,0.26,0.62,0.19,0.11,2.30,-0.90,1.20,0.85,-686,-787,-702,8.63,5.63,3.88,-1.75,-4.63,-6.50,-18.50,-16.50,-27.75,0.78,0.50,0.79,-119.00,-112.00,-92.00,-12.25,-63.00,-179.67,-233.00,0.94,0.67,0.78,0.79,0.96,0.92,0.92,0.71,0.79,0.75,0.58,0.83,1.00,0.83,0.33,0.54,0.79,0.92,0.92
F,22.00,26.00,14.00,6.00,10.00,0.16,0.54,0.41,0.57,0.20,1.80,-0.80,0.40,-480,-590,-564,4.88,3.75,5.00,-2.88,-3.50,-3.75,-22.75,-19.75,-25.25,0.62,0.59,0.78,-137.00,-90.00,-65.00,-68.25,-61.25,-190.75,-317.00,0.83,0.61,0.89,0.96,0.83,0.88,0.96,0.71,0.83,0.75,0.29,0.75,0.92,0.92,0.58,0.42,0.63,0.96,0.92
M,24.00,31.00,14.00,14.00,12.00,-0.15,0.55,0.66,0.50,1.10,0.90,3.00,1.63,-483,-592,-545,7.38,3.88,7.71,-2.88,-2.00,-2.00,-17.00,-8.25,-23.75,0.71,0.72,0.88,-88.00,-93.00,-53.00,-25.38,-90.13,-129.50,-217.00,0.89,0.72,0.83,0.88,1.00,1.00,0.96,0.96,0.88,0.88,0.79,0.88,0.83,0.79,0.79,0.54,0.75,1.00,0.96
F,38.00,22.00,1.00,7.00,9.00,0.14,0.64,0.41,0.49,2.50,2.40,2.40,2.40,-701,-702,-609,2.88,3.75,3.13,-1.38,-10.63,-4.13,-21.50,-25.50,-52.00,0.87,0.57,0.80,-172.00,-126.00,-81.00,-49.88,-75.25,-222.25,-157.50,0.72,0.67,0.72,0.96,0.75,0.83,0.96,0.54,0.50,0.83,0.79,0.92,0.88,0.92,0.83,0.63,0.75,0.83,0.83
F,20.00,25.00,9.00,10.00,6.00,0.37,0.58,0.58,0.72,1.40,1.50,1.80,1.57,-576,-592,-546,4.00,4.43,4.88,-4.75,-5.00,-5.14,-19.50,-15.50,-34.75,0.71,0.60,0.78,-122.00,-61.00,-81.00,-34.13,-51.63,-187.25,-194.25,0.72,0.78,0.78,0.79,0.88,0.79,0.79,0.88,0.46,0.75,0.79,0.92,1.00,0.96,0.79,0.58,0.83,1.00,0.96
F,25.00,26.00,4.00,8.00,3.00,0.21,0.81,0.52,0.36,3.30,1.70,2.10,2.35,-561,-624,-576,3.88,4.57,6.75,-2.25,-7.38,-6.88,-21.25,-13.25,-44.00,0.77,0.50,0.77,-139.00,-104.00,-67.00,-14.00,-71.75,-295.75,-169.88,0.67,0.83,1.00,0.92,0.88,0.92,0.79,0.79,0.71,0.46,0.67,0.83,1.00,0.88,0.54,0.38,0.75,0.88,0.96
M,25.00,36.00,13.00,16.00,12.00,0.43,0.90,0.57,0.94,4.25,1.10,2.40,2.58,-371,-495,-435,7.50,5.50,7.50,-1.63,-2.38,-1.38,-12.00,-8.75,-20.75,0.90,0.86,0.93,-73.00,-58.00,-54.00,-10.50,-25.38,-68.25,-68.25,0.83,0.89,1.00,0.96,1.00,0.92,1.00,0.88,0.88,0.92,0.83,0.92,1.00,0.96,0.96,0.88,1.00,0.96,0.96
F,23.00,37.00,10.00,13.00,10.00,0.20,0.86,0.50,0.68,2.70,1.80,3.30,2.60,-480,-629,-550,7.38,6.50,6.38,-2.75,-4.13,-2.86,-13.00,-16.00,-25.25,0.89,0.70,0.87,-126.00,-112.00,-62.00,-39.38,-39.38,-164.50,-133.00,0.89,0.78,0.78,0.92,0.79,0.96,0.88,0.79,0.67,0.92,0.54,0.79,1.00,0.88,0.96,0.88,0.83,0.79,0.88
F,22.00,22.00,4.00,7.00,6.00,0.13,0.13,0.42,0.30,1.10,0.10,0.70,0.63,-558,-702,-608,2.29,1.86,2.13,-3.43,-6.13,-6.50,-21.25,-24.86,-46.75,0.54,0.50,0.80,-104.00,-73.00,-112.00,-44.63,-65.63,-241.50,-245.00,0.61,0.39,0.61,0.92,0.67,0.79,0.75,0.71,0.54,0.67,0.75,0.71,0.54,0.71,0.67,0.63,0.79,0.88,0.92
F,21.00,29.00,5.00,5.00,7.00,-0.18,0.19,0.41,0.49,1.50,-0.20,0.00,0.42,-623,-592,-546,4.29,3.00,5.38,-4.13,-7.13,-2.88,-19.50,-32.25,-45.00,0.90,0.80,0.74,-224.00,-68.00,-95.00,-23.63,-58.63,-301.00,-154.00,0.56,0.61,0.61,0.83,0.83,1.00,0.88,0.63,0.75,0.71,0.83,0.92,0.96,0.71,0.67,0.54,0.75,0.88,0.96
F,23.00,32.00,12.00,11.00,14.00,0.31,0.50,0.50,0.58,2.55,0.90,1.80,1.72,-504,-660,-584,4.38,4.25,10.75,-3.25,-3.25,-2.75,-16.25,-18.00,-26.25,0.84,0.78,0.89,-111.00,-74.00,-81.00,-15.75,-77.00,-206.50,-134.75,0.72,0.89,0.94,0.92,0.96,0.92,0.96,0.88,0.67,0.88,0.79,0.96,1.00,0.88,0.75,0.71,0.83,0.96,0.96
M,20.00,35.00,14.00,16.00,14.00,0.53,0.66,0.70,0.80,1.30,1.30,3.60,2.07,-499,-515,-483,9.38,7.25,8.75,-2.63,-4.75,-8.43,-16.25,-15.50,-57.50,0.72,0.59,0.84,-94.00,-85.00,-67.00,-16.63,-47.25,-159.25,-127.75,0.83,0.67,0.78,0.79,0.92,0.88,1.00,0.71,0.58,0.88,0.79,0.75,1.00,0.88,1.00,0.71,0.83,0.88,0.96
M,20.00,41.00,14.00,16.00,17.00,0.62,0.74,0.67,0.79,1.15,0.00,-0.20,0.32,-510,-579,-440,7.38,3.75,2.88,-2.57,-5.71,-6.75,-18.25,-20.75,-39.25,0.74,0.76,0.82,-120.00,-54.00,-46.00,-39.38,-37.63,-204.75,-157.50,0.39,0.67,0.67,0.67,0.96,0.96,0.83,0.92,0.58,0.71,0.58,0.83,1.00,1.00,0.88,0.67,0.54,1.00,1.00
M,22.00,26.00,5.00,12.00,12.00,-0.02,0.28,0.81,0.50,0.55,0.10,0.50,0.38,-468,-639,-531,2.75,2.50,4.13,-2.00,-3.75,-8.57,-24.29,-22.00,-34.50,0.67,0.73,0.69,-163.00,-187.00,-81.00,-84.00,-53.38,-197.75,-239.75,0.78,0.72,0.61,0.83,0.96,0.79,0.75,0.71,0.46,0.88,0.71,0.58,0.79,0.83,0.79,0.50,0.25,0.75,0.96
