SEX,AGE,CATTEL,PATTER_COMPL,PAP_FOLD,NUMB_SERIES,MENTAL_COUNTERS,N_BACK,SSPAN,CSSPAN,CHANGE_DET_COL,CHANGE_DET__FIG,CHANGE_DET__LET, CHANGE_DETECTION_MEAN ,CRT_ARR,CRT_LET,CRT_DIG,ICO_FIG,ICO_LET,ICO_COL,FD_SIZ,FD_ORIENT,FD_BRI,FM_SIZ,FM_ORIENT,FM_BRI,NUMER16/36,NUMERS28/60,NUMERS8/20,IT_CIR,IT_LIN,IT_SQU,TOJ_DIS,TOJ_APP,DD_EMPTY,DD_FILLED,ICO_FIG_TRAIN,ICO_LET_TRAIN,ICO_COL_TRAIN,FD_SIZ_TRAIN,FD_ROT_TRAIN,FD_BRI_TRAIN,FR_SIZ_TRAIN,FR_ROT_TRAIN,FR_BRI_TRAIN,NUMER/36_TRAIN,NUMER/60_TRAIN,NUMER/20_TRAIN,TOJ_DIS_TRAIN,TOJ_APP_TRAIN,DD_EMPTY_TRAIN,DD_FILLED_TRAIN,IT_CIR_TRAIN,IT_LIN_TRAIN,IT_SQU_TRAIN
F,24.00,36.00,15.00,11.00,16.00,0.52,0.69,0.68,0.74,4.25,1.90,4.90,3.67,-514,-546,-554,4.63,4.63,11.25,-2.50,-2.13,-4.13,-21.50,-11.00,-28.50,0.86,0.79,0.89,-60.00,-71.00,-64.00,-20.13,-39.38,-141.75,-133.00,0.72,0.67,0.89,0.92,0.92,0.88,0.79,0.63,0.63,0.88,0.88,1.00,1.00,0.96,0.75,0.96,0.96,0.96,0.96
F,24.00,21.00,8.00,7.00,6.00,0.10,0.63,0.31,0.41,1.55,2.00,1.40,1.62,-514,-655,-546,5.88,5.25,2.13,-4.00,-9.75,-5.25,-27.00,-29.00,-45.75,0.64,0.65,0.77,-99.00,-119.00,-95.00,-108.50,-46.38,-194.96,-201.25,0.72,0.61,0.67,0.92,0.83,0.92,0.92,0.67,0.54,0.79,0.67,0.83,0.83,0.92,0.54,0.58,0.42,0.71,0.83
F,23.00,36.00,12.00,10.00,14.00,0.47,0.69,0.60,0.52,3.25,2.30,1.60,2.37,-465,-569,-489,9.38,7.00,11.00,-2.25,-2.88,-4.88,-18.00,-10.50,-25.25,0.81,0.68,0.75,-114.00,-92.00,-60.00,-47.00,-74.38,-178.50,-234.50,0.89,0.94,0.94,0.75,1.00,0.88,0.92,0.92,0.46,0.71,0.79,0.92,1.00,0.92,0.71,0.67,0.79,0.92,1.00
F,23.00,30.00,8.00,9.00,8.00,0.06,0.27,0.46,0.46,1.30,1.00,2.80,1.68,-546,-749,-591,3.71,4.14,4.50,-2.88,-10.63,-4.88,-18.00,-20.00,-23.43,0.73,0.80,0.71,-100.00,-71.00,-63.00,-13.13,-61.25,-152.25,-148.75,0.78,0.50,0.72,0.92,0.88,0.96,0.46,0.92,0.67,0.63,0.75,0.79,1.00,0.79,0.83,0.75,1.00,0.83,0.96
F,21.00,38.00,12.00,14.00,11.00,0.38,0.91,0.70,0.86,3.35,3.20,2.30,2.95,-499,-561,-531,9.75,8.43,7.88,-2.00,-2.50,-3.38,-15.75,-11.25,-28.50,0.81,0.83,0.90,-61.00,-84.00,-53.00,-20.13,-42.00,-54.25,-127.75,0.94,0.94,1.00,0.96,1.00,0.88,0.92,0.92,0.71,0.79,0.83,0.88,1.00,1.00,1.00,0.71,1.00,0.96,1.00
F,24.00,30.00,5.00,12.00,12.00,0.24,0.78,0.59,0.70,3.20,2.40,2.10,2.55,-530,-546,-514,6.43,4.00,8.38,-1.38,-6.75,-1.88,-15.50,-15.00,-42.86,0.75,0.78,0.81,-130.00,-157.00,-68.00,-22.75,-41.13,-248.50,-152.25,0.94,0.61,0.94,1.00,0.88,0.96,0.92,0.79,0.54,0.67,0.75,0.92,1.00,0.96,0.58,0.58,0.75,0.75,1.00
F,24.00,34.00,15.00,15.00,13.00,0.55,0.70,0.59,0.88,4.25,3.80,2.70,3.58,-441,-529,-480,6.25,6.00,6.25,-1.25,-2.13,-1.75,-14.75,-14.00,-37.25,0.83,0.92,0.87,-62.00,-65.00,-58.00,-35.00,-42.00,-141.75,-91.00,0.83,0.94,0.94,0.83,1.00,1.00,1.00,1.00,0.71,0.75,0.83,0.79,0.96,0.92,0.96,0.83,1.00,1.00,0.96
M,29.00,34.00,11.00,9.00,15.00,0.60,0.70,0.80,0.87,4.55,2.50,5.40,4.15,-530,-561,-451,11.63,8.13,11.38,-2.75,-3.38,-1.88,-14.86,-11.25,-26.00,0.82,0.83,0.80,-95.00,-71.00,-57.00,-27.13,-53.38,-103.25,-154.00,1.00,0.89,0.94,0.58,0.88,0.79,0.88,0.88,0.75,0.67,0.88,0.83,1.00,0.88,0.96,0.79,0.92,1.00,1.00
M,21.00,27.00,15.00,12.00,14.00,0.52,0.85,0.57,0.69,1.75,0.50,2.40,1.52,-464,-483,-436,4.13,4.50,6.38,-2.14,-2.63,-2.63,-18.50,-11.00,-29.50,0.62,0.61,0.75,-52.00,-56.00,-55.00,-25.38,-30.63,-183.75,-153.00,0.89,0.78,1.00,0.75,0.83,0.92,0.88,0.83,0.63,0.63,0.67,0.79,1.00,1.00,0.92,0.08,1.00,1.00,1.00
M,21.00,23.00,8.00,9.00,11.00,0.15,0.66,0.79,0.90,3.15,2.70,6.20,4.00,-484,-546,-468,7.63,7.50,9.38,-1.63,-3.50,-2.88,-18.00,-15.00,-30.25,0.82,0.77,0.83,-81.00,-63.00,-61.00,-11.38,-47.25,-119.00,-97.00,0.89,0.89,0.89,0.92,0.92,1.00,0.96,0.79,0.54,0.54,0.79,0.71,1.00,0.92,0.88,0.13,1.00,1.00,0.96
M,20.00,26.00,8.00,16.00,13.00,0.29,0.05,0.63,0.76,2.00,0.20,2.90,1.67,-734,-749,-763,7.86,5.25,5.13,-1.13,-4.00,-2.75,-21.75,-17.43,-33.25,0.71,0.80,0.84,-130.00,-124.00,-96.00,-63.00,-68.25,-260.75,-171.50,0.89,0.67,0.78,0.96,0.96,0.96,0.88,0.75,0.71,0.75,0.54,0.79,0.92,0.79,0.67,0.58,0.71,0.71,0.88
M,24.00,36.00,9.00,14.00,15.00,0.30,0.82,0.67,0.78,3.55,0.70,3.50,2.55,-400,-510,-460,5.43,7.50,8.00,-2.13,-1.75,-1.00,-14.50,-7.00,-19.50,0.91,0.91,0.94,-62.00,-60.00,-41.00,-16.63,-31.50,-178.50,-136.50,0.78,0.94,0.78,0.88,0.96,1.00,1.00,0.96,0.75,1.00,1.00,0.96,1.00,0.96,0.92,0.79,1.00,0.92,1.00
M,20.00,26.00,12.00,14.00,12.00,0.44,0.65,0.68,0.62,2.75,1.30,1.80,1.93,-531,-569,-531,5.25,6.00,8.00,-1.88,-3.25,-5.25,-15.00,-12.00,-22.25,0.72,0.81,0.87,-146.00,-64.00,-102.00,-20.13,-72.63,-241.50,-173.25,1.00,0.89,0.78,0.79,0.75,0.96,1.00,0.83,0.75,0.79,0.71,0.92,1.00,0.88,0.58,0.58,0.67,0.88,0.88
F,21.00,32.00,9.00,16.00,16.00,0.32,0.48,0.62,0.74,3.70,2.60,3.40,3.22,-484,-546,-522,11.38,6.43,9.75,-2.25,-4.75,-3.43,-19.00,-12.25,-36.86,0.64,0.65,0.86,-94.00,-89.00,-37.00,-17.50,-46.38,-194.25,-129.58,0.94,0.89,0.83,0.75,0.92,0.79,0.79,0.79,0.50,0.71,0.63,0.88,1.00,0.92,0.83,0.17,0.79,1.00,0.88
M,21.00,28.00,10.00,8.00,11.00,0.20,0.77,0.68,0.76,3.10,0.60,3.90,2.52,-389,-435,-409,7.57,6.88,6.65,-1.71,-2.00,-3.25,-13.00,-10.57,-22.75,0.65,0.73,0.91,-82.00,-79.00,-56.00,-18.38,-67.38,-182.00,-148.75,0.83,0.83,0.87,0.92,1.00,1.00,0.92,0.92,0.92,0.92,0.79,0.92,0.96,0.71,0.58,0.63,0.83,0.96,0.88
M,19.00,34.00,11.00,15.00,15.00,0.13,0.83,0.64,0.89,2.50,3.90,3.40,3.25,-529,-638,-546,8.75,5.38,6.13,-1.00,-1.50,-3.13,-15.50,-13.25,-37.75,0.76,0.55,0.70,-108.00,-87.00,-56.00,-25.38,-29.75,-218.75,-134.75,0.83,0.72,0.94,0.96,0.96,0.92,1.00,0.88,0.71,0.67,0.83,0.75,1.00,1.00,0.71,0.71,0.88,0.92,0.96
F,33.00,27.00,7.00,8.00,12.00,0.16,0.71,0.38,0.62,4.20,3.10,3.60,3.60,-529,-686,-561,9.75,8.13,9.38,-1.50,-3.00,-2.75,-9.75,-19.50,-16.00,0.83,0.83,0.83,-82.00,-85.00,-51.00,-23.63,-67.38,-236.25,-124.25,0.83,0.89,1.00,0.96,0.92,0.96,0.92,0.71,0.58,0.83,0.83,0.79,1.00,0.79,0.79,0.67,1.00,1.00,0.96
M,22.00,26.00,11.00,11.00,10.00,0.17,0.25,0.78,0.52,1.75,0.70,0.10,0.87,-515,-593,-562,6.75,6.13,10.00,-4.13,-3.00,-4.13,-10.75,-5.71,-27.25,0.91,0.86,0.79,-108.00,-67.00,-77.00,-27.13,-100.63,-196.00,-138.25,0.89,0.78,0.94,0.88,0.88,0.83,1.00,0.88,0.67,0.88,0.96,0.92,0.92,0.96,0.79,0.75,0.88,0.88,0.96
M,28.00,27.00,4.00,13.00,5.00,-0.04,0.50,0.42,0.81,1.80,2.20,2.80,2.25,-720,-680,-690,6.13,9.50,4.50,-3.50,-5.25,-1.38,-17.00,-21.50,-34.75,0.72,0.67,0.72,-155.00,-95.00,-75.00,-53.38,-73.50,-119.00,-164.79,0.83,0.89,0.94,0.83,0.83,1.00,0.71,0.75,0.75,0.79,0.58,0.83,0.75,0.79,0.71,0.50,0.67,0.88,1.00
M,28.00,25.00,6.00,11.00,8.00,0.01,0.25,0.26,0.24,0.75,-0.30,1.85,0.77,-577,-718,-826,4.77,2.88,4.80,-1.50,-2.50,-5.00,-17.24,-16.72,-29.83,0.77,0.76,0.89,-114.04,-121.00,-116.38,-63.88,-94.50,-236.25,-217.00,0.53,0.50,0.67,0.88,0.96,1.00,0.88,0.75,0.63,0.75,0.88,0.92,0.54,0.83,0.63,0.54,0.69,0.54,0.75
M,21.00,18.00,10.00,3.00,11.00,-0.10,0.36,0.41,0.24,0.45,-0.60,0.95,0.27,-559,-539,-510,6.38,5.13,7.60,-3.50,-6.63,-4.88,-24.16,-17.71,-44.97,0.78,0.66,0.55,-199.50,-146.13,-142.63,-105.00,-80.65,-245.00,-142.63,0.94,0.72,0.67,0.83,0.83,0.92,0.83,0.63,0.54,0.50,0.63,0.92,0.88,0.83,0.79,0.79,0.17,0.50,0.21
M,30.00,22.00,9.00,4.00,9.00,0.28,0.69,0.36,0.51,0.95,1.75,1.95,1.55,-546,-607,-529,5.38,4.13,3.00,-2.38,-7.13,-4.38,-23.45,-11.62,-18.74,0.78,0.84,0.91,-70.88,-76.13,-86.63,-25.38,-86.63,-134.75,-105.00,0.61,0.83,0.89,0.79,0.88,0.83,0.58,0.67,0.71,0.79,0.92,0.79,1.00,0.83,0.88,0.63,0.92,0.92,0.58
F,21.00,36.00,12.00,14.00,13.00,0.83,0.95,0.38,0.68,4.95,1.60,2.35,2.97,-600,-764,-522,9.25,6.00,7.50,-1.13,-4.75,-2.25,-14.97,-18.89,-21.38,0.73,0.80,0.79,-67.38,-71.75,-79.63,-19.25,-91.88,-124.25,-131.25,0.89,0.94,0.94,1.00,0.79,0.92,0.92,0.79,0.79,0.88,0.79,0.88,1.00,0.75,0.96,0.75,0.92,1.00,0.96
M,23.00,32.00,13.00,12.00,15.00,0.29,0.78,0.52,0.74,2.35,1.15,1.75,1.75,-459,-529,-470,7.13,5.88,10.00,-1.52,-3.38,-1.00,-13.09,-9.82,-18.75,0.77,0.69,0.83,-59.50,-65.63,-45.50,-21.00,-30.63,-136.50,-99.00,0.89,0.72,0.94,0.92,1.00,1.00,0.88,1.00,0.96,0.63,0.71,0.92,1.00,1.00,0.96,0.67,0.96,0.96,1.00
F,32.00,33.00,10.00,9.00,11.00,0.30,0.70,0.68,0.66,2.60,2.60,4.50,3.23,-576,-576,-576,6.00,7.29,5.40,-1.75,-3.63,-4.63,-15.23,-17.07,-30.36,0.81,0.91,0.81,-74.38,-75.25,-61.25,-20.13,-32.38,-194.25,-168.00,0.83,0.89,0.94,1.00,0.92,0.71,1.00,0.71,0.67,0.71,0.88,0.71,1.00,0.96,0.79,0.50,0.88,1.00,0.88
F,21.00,27.00,3.00,7.00,8.00,0.26,0.15,0.54,0.64,3.05,1.10,2.15,2.10,-499,-514,-514,7.88,8.63,10.60,-2.00,-2.00,-3.88,-17.42,-13.33,-24.00,0.68,0.67,0.72,-89.25,-96.25,-71.75,-28.00,-79.63,-103.25,-91.00,1.00,0.83,0.94,0.88,0.92,0.88,0.79,0.79,0.67,0.71,0.67,0.67,0.96,0.92,0.92,0.92,0.92,0.96,0.79
F,20.00,38.00,9.00,14.00,13.00,0.47,0.94,0.62,0.58,4.65,2.00,4.30,3.65,-469,-525,-459,7.88,7.13,9.80,-2.00,-2.13,-2.00,-25.24,-10.60,-23.53,0.76,0.78,0.83,-97.13,-72.63,-28.00,-24.50,-33.25,-210.00,-148.75,0.94,0.89,0.94,0.88,0.96,1.00,0.92,0.79,0.96,0.13,0.63,0.96,1.00,0.96,0.88,0.83,0.04,0.96,1.00
F,24.00,37.00,9.00,15.00,13.00,0.39,0.76,0.33,0.83,4.50,2.10,3.30,3.30,-623,-725,-638,13.50,9.75,10.30,-2.25,-2.00,-2.13,-13.05,-11.85,-21.73,0.71,0.67,0.85,-77.88,-54.25,-48.13,-19.25,-77.00,-124.25,-126.00,0.89,0.89,1.00,1.00,1.00,1.00,0.96,0.92,0.71,0.75,0.71,0.75,1.00,0.92,0.67,0.75,0.96,0.96,0.96
M,34.00,25.00,10.00,15.00,11.00,-0.12,0.80,0.81,0.68,2.10,3.85,5.45,3.80,-620,-690,-674,9.38,6.25,6.40,-1.63,-2.38,-5.00,-23.35,-12.00,-34.21,0.76,0.73,0.72,-78.75,-127.75,-62.13,-31.50,-74.38,-141.00,-143.50,1.00,0.94,0.67,0.92,0.96,0.88,0.92,0.88,0.67,0.88,0.75,0.83,1.00,0.50,0.88,0.83,0.96,0.79,1.00
F,40.00,21.17,4.00,2.00,9.00,0.03,0.46,0.27,0.49,2.25,0.45,3.20,1.97,-629,-772,-779,4.26,3.50,4.00,-1.50,-5.88,-4.63,-12.52,-12.18,-29.52,0.76,0.80,0.82,-175.88,-161.88,-120.41,-55.13,-77.00,-154.00,-393.00,0.54,0.61,0.56,0.96,0.75,0.92,0.88,0.79,0.54,0.79,0.92,0.92,0.79,0.75,0.63,0.63,0.71,0.58,0.57
M,19.00,28.00,11.00,13.00,11.00,0.45,0.63,0.84,0.70,2.85,4.30,1.60,2.92,-436,-514,-499,6.25,8.63,8.60,-2.75,-2.00,-2.50,-19.63,-15.27,-28.07,0.69,0.74,0.83,-80.50,-74.38,-62.13,-40.25,-33.25,-197.75,-103.25,0.94,0.83,1.00,0.92,1.00,1.00,0.88,0.71,0.79,0.83,0.75,0.83,1.00,0.96,0.88,0.92,0.96,1.00,1.00
M,23.00,35.00,15.00,16.00,17.00,0.64,0.96,0.78,0.72,4.00,3.10,3.65,3.58,-406,-514,-451,8.63,7.88,10.50,-3.38,-1.63,-1.63,-13.28,-8.98,-24.42,0.89,0.88,0.89,-70.88,-53.38,-41.13,-15.75,-34.13,-89.25,-87.50,0.94,0.78,0.94,0.88,1.00,0.96,1.00,0.88,0.79,0.83,0.92,0.88,0.96,1.00,0.92,0.96,0.96,1.00,1.00
M,24.00,35.00,7.00,9.00,12.00,0.29,0.95,0.67,0.52,1.65,0.90,2.65,1.73,-600,-514,-546,7.75,5.50,8.30,-2.63,-4.38,-3.13,-17.71,-11.51,-19.91,0.75,0.82,0.75,-109.38,-68.25,-75.25,-24.50,-55.13,-181.00,-133.00,0.94,0.94,0.44,0.75,0.96,0.92,1.00,0.79,0.71,0.58,0.38,0.71,1.00,0.88,0.88,0.75,0.71,1.00,0.96
F,29.00,27.00,11.00,6.00,9.00,-0.29,0.33,0.46,0.58,3.30,2.80,4.40,3.50,-514,-592,-531,4.75,5.00,6.60,-2.25,-3.13,-2.25,-14.17,-15.32,-19.56,0.94,0.79,0.83,-86.63,-68.25,-58.63,-21.88,-28.88,-159.25,-110.25,0.78,0.94,0.83,0.88,0.79,1.00,0.83,0.92,0.38,0.79,0.88,0.83,1.00,1.00,0.88,0.63,0.83,1.00,0.96
F,39.00,20.00,7.00,2.00,11.00,0.10,0.39,0.41,0.52,2.10,0.90,2.20,1.73,-655,-779,-639,3.63,4.29,5.00,-2.13,-4.63,-6.00,-14.85,-16.10,-45.28,0.83,0.83,0.85,-106.75,-101.50,-78.75,-28.00,-109.38,-120.75,-134.75,0.72,0.78,0.67,0.88,0.92,0.88,0.96,0.88,0.42,0.79,0.71,0.96,1.00,0.92,1.00,0.75,0.79,0.83,0.83
M,39.00,26.00,6.00,7.00,4.00,-0.03,0.26,0.37,0.69,3.30,0.70,2.25,2.08,-671,-624,-600,6.13,9.43,6.90,-1.88,-1.75,-3.25,-20.28,-9.68,-24.69,0.82,0.74,0.86,-86.63,-112.00,-78.75,-49.00,-76.13,-148.75,-145.25,0.78,0.83,1.00,0.96,0.96,0.96,0.92,0.75,0.50,0.75,0.63,0.71,0.79,0.63,0.88,0.67,0.79,0.79,0.88
F,21.00,22.00,9.00,6.00,8.00,0.22,0.27,0.37,0.43,3.05,1.65,0.70,1.80,-550,-734,-539,7.29,6.50,8.90,-1.63,-2.88,-4.25,-15.88,-11.44,-25.79,0.51,0.58,0.70,-68.25,-71.75,-63.88,-64.75,-110.25,-180.25,-126.00,0.83,0.44,0.72,1.00,1.00,0.92,0.92,0.92,0.75,0.63,0.50,0.71,1.00,0.75,0.75,0.63,0.96,0.88,0.96
M,20.00,31.00,14.00,13.00,16.00,0.49,0.99,0.89,0.83,5.45,3.95,5.80,5.07,-436,-389,-404,4.38,6.88,6.30,-2.50,-2.38,-1.75,-13.90,-9.64,-23.33,0.76,0.71,0.76,-49.88,-63.88,-55.13,-18.38,-26.25,-112.00,-89.25,0.94,0.89,0.94,0.92,0.92,0.92,0.83,0.92,0.75,0.54,0.75,0.83,1.00,1.00,0.96,0.92,1.00,1.00,1.00
M,23.00,30.00,7.00,11.00,7.00,0.31,0.63,0.71,0.51,2.45,0.70,3.30,2.15,-529,-539,-504,4.88,5.29,7.80,-1.75,-2.25,-2.00,-13.32,-10.95,-34.84,0.79,0.80,0.86,-49.00,-60.38,-44.63,-30.63,-52.50,-129.50,-211.75,0.72,0.56,0.94,1.00,1.00,1.00,0.96,0.92,0.71,0.71,0.83,0.88,0.92,0.83,0.96,0.71,0.96,1.00,1.00
F,19.00,34.00,12.00,11.00,11.00,0.52,0.87,0.68,0.77,4.50,4.25,2.50,3.75,-389,-451,-421,8.88,4.38,5.40,-1.13,-1.88,-1.71,-14.68,-13.26,-22.98,0.89,0.74,0.79,-49.88,-63.88,-55.13,-18.38,-35.88,-182.00,-117.25,0.94,0.61,0.78,1.00,0.92,1.00,0.92,1.00,0.79,0.88,1.00,0.96,1.00,1.00,0.92,0.13,1.00,1.00,1.00
M,23.00,32.00,9.00,7.00,14.00,0.19,0.83,0.84,0.66,3.15,3.10,3.30,3.18,-499,-468,-437,7.13,4.75,6.30,-1.38,-4.13,-2.38,-14.38,-13.60,-22.17,0.86,0.76,0.69,-70.00,-57.75,-59.50,-35.00,-58.63,-211.75,-164.00,0.83,0.83,0.89,0.83,0.79,1.00,0.92,0.71,0.67,0.75,0.67,0.88,0.96,0.92,0.79,0.17,1.00,1.00,1.00
F,22.00,29.00,6.00,10.00,10.00,0.14,0.34,0.27,0.53,1.30,0.55,0.60,0.82,-554,-624,-623,7.13,4.86,8.40,-2.13,-8.38,-2.75,-12.71,-15.34,-24.90,0.71,0.58,0.82,-75.00,-83.13,-57.75,-36.75,-93.63,-134.75,-112.00,0.94,0.94,1.00,1.00,0.96,1.00,0.96,0.75,0.58,0.83,0.75,0.83,1.00,0.75,0.92,0.67,1.00,0.75,1.00
M,20.00,38.00,11.00,12.00,14.00,0.30,0.46,0.58,0.64,1.40,2.90,1.20,1.83,-575,-709,-580,10.75,3.63,5.90,-2.00,-5.63,-1.63,-18.26,-11.50,-26.97,0.78,0.65,0.76,-87.50,-83.13,-59.50,-19.25,-75.25,-224.00,-169.75,0.94,0.72,0.83,1.00,0.88,0.96,0.92,0.88,0.63,0.83,0.83,0.92,1.00,0.96,0.54,0.21,0.83,0.88,1.00
M,23.00,30.00,9.00,13.00,13.00,0.11,0.32,0.52,0.93,2.40,1.10,1.95,1.82,-499,-562,-546,5.25,5.88,5.50,-1.88,-4.13,-5.13,-14.73,-15.23,-26.24,0.52,0.75,0.73,-92.75,-80.50,-46.38,-55.13,-80.00,-194.25,-131.00,0.78,0.78,0.72,0.92,0.63,0.79,0.88,0.79,0.75,0.58,0.50,0.88,0.88,0.88,0.79,0.75,0.92,0.96,0.88
F,21.00,25.00,6.00,11.00,6.00,0.30,0.53,0.49,0.51,2.70,2.20,3.65,2.85,-483,-498,-483,6.13,7.50,9.10,-2.63,-1.63,-3.38,-17.58,-17.41,-32.56,0.71,0.86,0.81,-107.63,-107.63,-52.50,-26.25,-39.38,-153.00,-199.50,0.89,1.00,0.89,0.92,1.00,0.79,0.83,0.88,0.50,0.88,0.83,0.88,1.00,0.92,0.67,0.71,0.92,1.00,1.00
M,20.00,27.00,11.00,14.00,14.00,0.14,0.80,0.51,0.71,2.45,1.20,2.30,1.98,-483,-607,-561,8.75,6.38,5.10,-1.75,-3.75,-5.88,-16.60,-16.10,-34.86,0.86,0.76,0.86,-60.38,-146.13,-45.50,-34.13,-34.13,-136.50,-154.00,0.89,0.94,0.89,1.00,0.96,1.00,0.67,0.88,0.46,1.00,0.79,0.92,0.04,0.96,0.92,0.50,1.00,0.67,1.00
M,19.00,24.00,4.00,8.00,11.00,0.11,-0.01,0.60,0.61,2.60,2.40,2.65,2.55,-569,-665,-549,6.00,3.14,5.30,-2.13,-4.63,-2.63,-18.53,-19.64,-24.88,0.70,0.76,0.86,-104.13,-95.38,-97.13,-48.13,-77.00,-210.00,-185.50,0.83,0.44,0.50,0.79,0.83,0.88,0.83,0.63,0.79,0.83,0.67,0.96,1.00,0.71,0.63,0.75,0.83,0.67,0.96
